section,category,package,summary,evidence
confirmed,build-summary,,"colcon build discovered 3 package(s): nav_bridge_core, sensor_fusion_utils, diagnostics_reporter.","packages_discovered=['nav_bridge_core', 'sensor_fusion_utils', 'diagnostics_reporter'] (parsed from 'Starting >>> <pkg>' lines)"
confirmed,build-summary,,"2 package(s) finished the build successfully: nav_bridge_core, diagnostics_reporter.","packages_built_ok=['nav_bridge_core', 'diagnostics_reporter'] (parsed from 'Finished <<<' lines)"
confirmed,build-failure,sensor_fusion_utils,1 package(s) failed the build: sensor_fusion_utils.,"packages_failed=['sensor_fusion_utils'], exit_codes={'sensor_fusion_utils': 2} (parsed from 'Failed <<<' lines)"
confirmed,build-warning,nav_bridge_core,nav_bridge_core produced 1 line(s) matching 'Warning' in its stderr block.,warning_counts['nav_bridge_core']=1
confirmed,missing-dependency-reference,sensor_fusion_utils,Build log contains a missing-dependency reference for 'custom_msgs' (source: cmake) attributed to package sensor_fusion_utils.,"missing_deps entry={'package': 'sensor_fusion_utils', 'dependency': 'custom_msgs', 'source': 'cmake'}"
confirmed,missing-dependency-reference,sensor_fusion_utils,Build log contains a missing-dependency reference for 'libpcl-fusion-dev' (source: rosdep) attributed to package sensor_fusion_utils.,"missing_deps entry={'package': 'sensor_fusion_utils', 'dependency': 'libpcl-fusion-dev', 'source': 'rosdep'}"
confirmed,test-summary,,"Test results (latest attempt per package): 10 test(s), 1 error(s), 0 failure(s), 0 skipped.","totals={'tests': 10, 'errors': 1, 'failures': 0, 'skipped': 0}"
confirmed,nondeterministic-timestamp-warning,nav_bridge_core,"Build log contains 1 non-reproducible-timestamp warning line(s), for package(s): nav_bridge_core.",nondeterministic_timestamp_warning_count=1
confirmed,dockerfile-pin,,Dockerfile base-image pin status: tag-pinned (image ref: ros:humble-ros-base).,"check_dockerfile_pin() -> ('tag-pinned', 'ros:humble-ros-base')"
likely,likely-missing-dependency,sensor_fusion_utils,"sensor_fusion_utils's build failure is likely related to unresolved dependency reference(s) (custom_msgs, libpcl-fusion-dev) logged for the same package, but this is not confirmed as the sole or exact cause.","sensor_fusion_utils failed with exit code 2; missing-dependency lines for sensor_fusion_utils: custom_msgs, libpcl-fusion-dev. Would be confirmed by: re-running the build after installing custom_msgs, libpcl-fusion-dev and observing sensor_fusion_utils transition from Failed to Finished with no other changes."
likely,likely-reproducibility-gap,,"The base image is tag-pinned rather than digest-pinned, which is likely to allow the build environment to drift between runs -- though whether it actually has drifted is not verified here.",check_dockerfile_pin() returned 'tag-pinned' for image ref 'ros:humble-ros-base'. Would be confirmed by: pulling the tag on two different dates and diffing the resulting image digests.
unverified,candidate-flaky-test,diagnostics_reporter,"diagnostics_reporter.test_reporting_latency failed in attempt 1 and did not fail in attempt 2 for the same package -- this pattern is consistent with a flaky (intermittently failing) test, but two attempts is not enough to confirm flakiness versus a one-off environmental fluke.","candidate_flaky_tests entry={'package': 'diagnostics_reporter', 'test': 'test_reporting_latency', 'failed_attempt': 1, 'later_passing_attempt': 2}"
unverified,unverified-reproducibility-impact,nav_bridge_core,"The non-reproducible-timestamp warning(s) logged above are consistent with build artifacts that would differ byte-for-byte across runs, but this demo does not diff actual artifact checksums, so the impact on reproducibility is unverified.",1 timestamp-warning line(s) parsed from the build log. No artifact checksum comparison was performed.
additional_data_required,ask-rebuild-after-dependency-fix,sensor_fusion_utils,"Provide a rebuild log for sensor_fusion_utils captured after installing/resolving dependency(ies) custom_msgs, libpcl-fusion-dev, so the likely-cause hypothesis above can be confirmed or ruled out.",Would move finding 'likely-missing-dependency' (package=sensor_fusion_utils) from Likely to Confirmed or ruled-out.
additional_data_required,ask-repeated-test-runs,diagnostics_reporter,Run diagnostics_reporter.test_reporting_latency at least 5 additional independent times (ideally on different CI runners/days) and provide the pass/fail log for each run to confirm or rule out flakiness.,"Would move finding 'candidate-flaky-test' (package=diagnostics_reporter, test=test_reporting_latency) from Unverified to Confirmed-flaky or Confirmed-one-off."
additional_data_required,ask-digest-pin,,Pin the Dockerfile FROM line to a specific @sha256 digest and provide a build log from the pinned image to establish a stable baseline for future reproducibility comparisons.,Would upgrade the 'likely-reproducibility-gap' finding from Likely to either Confirmed-stable or a specific new failure mode.
additional_data_required,ask-second-build-run,,"Provide a second independent build log (same commit, same Dockerfile) so the discovered package set can be compared across runs. Only one run is available in this scenario, so package-set reproducibility could not be evaluated at all.",Would populate the 'package-set-comparison' confirmed finding and enable the 'unverified-package-set-drift' check for this scenario.
additional_data_required,ask-artifact-checksum-diff,,"Provide sha256 checksums of the build output artifacts from two independent runs of the same commit, so the 'unverified-reproducibility-impact' finding can be confirmed or ruled out.",Would move finding 'unverified-reproducibility-impact' to Confirmed non-reproducible-artifact or Confirmed-stable.
